game,event_slug,condition_id,team0,team1,series_winner,map1_winner,map2_winner,swept,volume_usd,token_id_yes,token_id_no,game_start_utc
dota2,dota2-tundra-mouz-2025-11-08,0xb8c553419b9f40fa5df53c41eb3eefcfd12a06965adbe5e26f5ae7331b01c4f7,Tundra Esports,MOUZ,Tundra Esports,MOUZ,Tundra Esports,f,79072,16430204077047458584752946836680423136122981814225736781297092674619892944362,19798351811813909963891365863396643568916505939403310333160545733414152102429,2025-11-08T07:00:00Z
cs2,cs2-fal2-furia-2025-11-08,0x37560f72a20dd5f7a7ee33456f0d52375ecebff58e0e491794b57576c994dd3e,Team Falcons,FURIA,FURIA,FURIA,FURIA,t,213051,76226046468791324161902942672530565506546926135793782287326513839776221260693,4538402372536957211134204447913789459587975950599600120528430709161674842408,2025-11-08T09:45:00Z
dota2,dota2-flc-heroic-2025-11-08,0xfe394e86178339ef85b8b89a36c1549eb521e852b901043944ce5ffe18b8e97b,Team Falcons,Heroic,Team Falcons,Team Falcons,Team Falcons,t,14871,99763800344123122022512961552605793517821230676831551393802961178723110839555,68559954183869627093243907660532750513319776231274535917568021385553115876969,2025-11-08T10:30:00Z
cs2,cs2-bet-500-2025-11-08,0x42e272f754a3e0e0f7d16edd251e9006513b5ec5d86c2b2fec890ac24bf64864,Betera Esports,500,Betera Esports,Betera Esports,500,f,4613,6062565610325380607276484370264793120081016918801698801814998253530985599927,91346370554260355121959385529317057191107191603651085256902057254058391692532,2025-11-08T15:30:00Z
cs2,cs2-mouz-fal2-2025-11-09,0x6faa24129ed633d2ca02ed96489372f8c5590c0646f91f8dbd5d3566a1e9bf48,MOUZ,Team Falcons,Team Falcons,Team Falcons,MOUZ,f,176386,29954329744078766599354591121849604351758600562635976057654696692906492213227,110382658401912424240616678901556107343161072264842013781115464534050183624781,2025-11-09T04:00:00Z
cs2,cs2-ntr-bet-2025-11-09,0xd2e60bf315c9beb008049cf7be6b814e80f83ec91eef243199c068442c8c3e01,Nuclear TigeRES,Betera Esports,Nuclear TigeRES,Nuclear TigeRES,Nuclear TigeRES,t,2331,94645174043860216297657342044947189356290322327190281933407896833207136318714,31832426535187061757763309940621185945263684136863197587384202625061793319310,2025-11-09T11:00:00Z
cs2,cs2-orm-nemi1-2025-11-09,0xcb07d00816b31ef7495e135aa360682d3ab3b6a4459a74bcad0064d8d4520a7b,Oramond,Nemiga,Oramond,Nemiga,Oramond,f,1685,20164738767502205296632258058280881303382079856546258969341941409298860589605,95592638359264156485539234846989441574126161607351597774972972595441181039792,2025-11-09T11:00:00Z
cs2,cs2-mglz-pssnua-2025-11-12,0xca02827de56379fd88a1ca01f03ebaeff768d2d52f76a29218af5e14b1f4745f,TheMongolz,Passion UA,Passion UA,TheMongolz,Passion UA,f,117322,111948989926758344635474417414101856042306639062845601169171425192799704840772,111879822065521966243374729301617981523649979129501627337011084349072580436265,2025-11-12T02:00:00Z
cs2,cs2-ts7-fal2-2025-11-12,0x04af7484f4885648f1dbf821fb0791e45de57b35937e1cdecd080be2ab84bb32,Spirit,Team Falcons,Team Falcons,Team Falcons,Team Falcons,t,556898,51375546730953744026312271559943642656323509469850382783889641547887384326244,50944920943780452146686363552014580917699043912038918226804005519183726341753,2025-11-12T04:30:00Z
cs2,cs2-furia-pain-2025-11-12,0x5a209242a7a39beb5ed06e6fb85a40e6b2b1a91c89ada9d38ef1b4834f0f6bc1,FURIA,paiN,FURIA,paiN,FURIA,f,304115,23802342917194124204438342263921316782376228963809126429834016663383613340806,22082606628016066347634366828249629719814785598306372588265453770611330272154,2025-11-12T07:30:00Z
valorant,val-nova-edg1-2025-11-12,0xf464b12cb2fc7aa340ab27bb32adfcb8390c85bfc2e81527216335126bec4e67,Nova Esports,EDward Gaming,Nova Esports,Nova Esports,EDward Gaming,f,2232,58740162219672622729409122346543563638864615516268878978222740137050711640323,108135260632020908534190174940143872519673621446074665739404688783390792685840,2025-11-12T09:00:00Z
cs2,cs2-vit-tyloo-2025-11-12,0xc7ce31e75f5de1d32611a5f68f996f139288be40d2d79261aaf94f98753730c1,Vitality,TYLOO,Vitality,Vitality,TYLOO,f,404174,11268161638528974786354269399242241630409333222983060511169418698251878981947,48192345431237827455751934879342308899851314131301384286245755429052056495820,2025-11-12T09:30:00Z
valorant,val-jdg-aq-2025-11-12,0xd59cb6240a9b47bedad87cba42a560e26dd0a996f12880df3cc47ab9674483d6,JD Gaming,Any Questions Gaming,JD Gaming,JD Gaming,JD Gaming,t,2256,19308396863469177064375729771662039358960034475295291136140365935114665818070,30271092357259934819358700248615310784437784138548567181383828077375314772248,2025-11-12T11:00:00Z
cs2,cs2-mglz-ts7-2025-11-13,0x5c97e8852474ca9f4ce524b114a5865aac7cc1ab3abd3e131e6d14690ad3be80,TheMongolz,Spirit,Spirit,Spirit,Spirit,t,86915,113220755601140494069332849040627294236584061001594132799311818871468665453239,91996614717536123839584021478259578625485579738775833927072382132896753578371,2025-11-13T02:00:00Z
cs2,cs2-pssnua-fal2-2025-11-13,0xca443f9b161b8e60b794d00d5a51295f03678137c0dbf60977b2455141ec06ff,Passion UA,Team Falcons,Team Falcons,Team Falcons,Team Falcons,t,129638,40131533726725117039872076616045682679974156039511824324171655067777504034197,37547647145904731452069687597246428734685781460720125876939876329151290978985,2025-11-13T04:30:00Z
cs2,cs2-pain-tyloo-2025-11-13,0x9b7e10a32cc81fcadfc55cf5f29cbf4493401c2e885c9b9e8d01bfa502b7a3bd,paiN,TYLOO,paiN,paiN,TYLOO,f,286510,76193858497338908033248034943013897086632452522584777081630605146711613393150,84114818999586627112103599694203695423495882691794426957287899984151394357628,2025-11-13T07:00:00Z
valorant,val-tec-te-2025-11-13,0xa0a6fbbbe08ba253ddbfc870e8b0804b960663b245e7a0d65fa90ac7ba49e794,TEC Esports,Trace Esports,Trace Esports,Trace Esports,Trace Esports,t,1664,59940191655585250523212847536090611414423066727136147114534629623862878438820,60136421076055608391715375910708071948776639980067686494307644893451575299110,2025-11-13T09:00:00Z
cs2,cs2-furia-vit-2025-11-13,0xe7ed183298cc1fcb8a42266ec82128f29c261201395751cfef4c0a2b7fcb5ea9,FURIA,Vitality,FURIA,FURIA,Vitality,f,629483,100094021344034870095340842958529487003760547110305893866113945370968498030033,235416085545006257167787725659592023977050845876289407666837894809905493348,2025-11-13T09:30:00Z
valorant,val-wol-fpx-2025-11-13,0x240ec1681f897a704c74bf5caf4df157308061a94d4bb52564cc0fb16b67ce8d,Wolves Esports,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,Wolves Esports,f,9331,36068958308594968251570940658030567836468441675733838156608373696296013101891,70344160051171690175849144838749038705092756523324830600357453905291059932643,2025-11-13T11:00:00Z
cs2,cs2-pssnua-pain-2025-11-14,0x273132da32a509c459409384c71ddd9aca760b3fddfae62e65f80d51237622ab,Passion UA,paiN,paiN,paiN,paiN,t,586837,42268862121914390846721545838815995800223718046278244342938520053000574304355,115685776564109675612692410759776249178946915793584438499683284059332673915354,2025-11-14T08:00:00Z
valorant,val-nova-jdg-2025-11-14,0x259c013e227f75ffce842f11c955e2ffd1e47627398df7f2bea1c2f6720a6405,Nova Esports,JD Gaming,Nova Esports,Nova Esports,JD Gaming,f,3157,66553803880679071206053114030628477138794919228635599850298861029383607207657,93955703351645773969535517796251546432907224801353068659030521048978734173697,2025-11-14T09:00:00Z
cs2,cs2-ts7-vit-2025-11-14,0x9a5a3387197b4d3e913e79683280f47c81d89eadc9b39ce55d38c8bbce9f0d8b,Spirit,Vitality,Vitality,Spirit,Vitality,f,1215558,24452161144975278657266905813449603866177134371968865212997160804815475071388,21301590483584088513192140909825840604397276834449614552090930736738751479933,2025-11-14T10:30:00Z
valorant,val-te-fpx-2025-11-14,0x3d8f5cfe4764d7996332df8a90cc7d372840edff7c47cef69be63f6a5763fa37,Trace Esports,FunPlus Phoenix,FunPlus Phoenix,FunPlus Phoenix,Trace Esports,f,3070,45841797377154688428757193699090158273233127616953201819723260864029661362602,84337022284587784600381394395329902953574448287544927063208415791585278266019,2025-11-14T11:00:00Z
cs2,cs2-furia-pain-2025-11-15,0xba3e42e1b49b99232a9b99b15c895008a74634b233dba423c4ebf0986ec565a3,FURIA,paiN,FURIA,FURIA,FURIA,t,364204,88083225108269156006550484727731189818421429821608381618874588506284160081634,88766053106084235093731147728352047936464424277123436730823962771372052493657,2025-11-15T08:00:00Z
dota2,dota2-mouz-roar-2025-11-15,0x6252e5a603cceba1c467444a6a49a3d4b5b788915425d3b2dc4c7000ec1e51c9,MOUZ,Roar Gaming,MOUZ,MOUZ,MOUZ,t,9493,9553986478907157786358159040204654912977474014513727620698919536030913632576,95857022141609388884571508419346954570038693704629027011330352595012013701423,2025-11-15T08:00:00Z
dota2,dota2-pari-og-2025-11-15,0x63fc51ccd2968fac5eed3c55c5963755544311060a429fe15e38bd061a5d0740,PARIVISION,OG,OG,OG,OG,t,16559,96461632015972804983804795549586074276401015478551408427921167280184253595431,103421814260684894673115319096711578716033073411051446982546582096960576622550,2025-11-15T08:00:00Z
cs2,cs2-fal2-vit-2025-11-15,0xa5928fa1c8b3bc46688cc2a6e5badd7ac059adad093000b3223735dfa692c412,Team Falcons,Vitality,Team Falcons,Team Falcons,Team Falcons,t,566538,96332609673599012266159382162135624587983413716135640838825989215520843215783,6868060680418687739843746621179804592869172932214445313485268377508033677887,2025-11-15T10:30:00Z
dota2,dota2-liquid-gl-2025-11-15,0x450b790d6025e7fc24327091f2347f2f165a2eafdf8ac433cd318d7774bbee5d,Team Liquid,GamerLegion,Team Liquid,Team Liquid,Team Liquid,t,3324,85980419897140624466044254572460719521106019772964926857102358199797135461722,19266026058885515012525992009096835610911277498488216083393636308439195779226,2025-11-15T11:00:00Z
dota2,dota2-xtreme-per1-2025-11-15,0xc89d253ec810a09a9ea19cfe118ce39719b4e1ff4c74bc114468a9fa3389d97f,Xtreme Gaming,Peru Rejects,Xtreme Gaming,Peru Rejects,Xtreme Gaming,f,29621,49498963692093914847633646867993040036852187075869050996331282285904007583828,105831104862130944948554280568620111525755971991177793868986636363601376894160,2025-11-15T11:00:00Z
dota2,dota2-bb4-tt2-2025-11-15,0x5a1b8044bf318e25a855d805291ffc783b38b7e99a93584d53efebab003891c9,BetBoom Team,Team Tidebound,BetBoom Team,BetBoom Team,BetBoom Team,t,16316,82590119422617029087512119825197317804060655791386328178401167861169865212997,81922087951739815574427498025890537982194483576910132277209179391394175987553,2025-11-15T14:00:00Z
dota2,dota2-ts8-yakult-brothers-2025-11-15,0xe2f00c3395e9f3ad5f84867a06c2d26cf273aedc630fd386ccfdcc57e0a9ba06,Team Spirit,Yakult Brothers,Team Spirit,Yakult Brothers,Team Spirit,f,20536,56820259218795890517225394959870781883602557261204579540457367233401828049801,105698437189524147254536881358056817401911769874032791017195135922424571567360,2025-11-15T14:00:00Z
dota2,dota2-heroic-navi-2025-11-15,0xa5f2fd543162503fe33d67154fc085cbd38d72f73bdd5d472d201b2e2a6278e7,Heroic,Natus Vincere,Natus Vincere,Natus Vincere,Natus Vincere,t,24496,24757476749236833307742176690676796150654833286163015797778683456422005755095,96357729165673930515147731934671005016466360917608992445486793932563636090137,2025-11-15T17:00:00Z
dota2,dota2-tundra-ngx-2025-11-15,0xcecc1d5ec020d10fe779cae167decb79c934d761625bd1279ca841e6e85e073e,Tundra Esports,Nigma Galaxy,Tundra Esports,Tundra Esports,Tundra Esports,t,11434,57477387130313964870248629523835085235392163526362530840951131209639808084318,62970235218807327430909288395093021800939540078048847683654412831499050833711,2025-11-15T17:00:00Z
valorant,val-zeta2-nrg-2025-11-15,0x3cb74898850dcbbf8f9553ade5fd4b2e9b352336cbc3ae0cbccb511e213f0198,ZETA DIVISION,NRG,NRG,NRG,NRG,t,1016,97961038312321987549391182206170111687503037599617431112598185982217730221780,28646181067646687916073571403149733724593936855566887106485109823097194593606,2025-11-15T19:00:00Z
dota2,dota2-liquid-xtreme-2025-11-16,0x6a8795acba669e34f64112aa0a8f1a0c15c4a406c643f8b0e5aa6f4662e50586,Team Liquid,Xtreme Gaming,Team Liquid,Team Liquid,Xtreme Gaming,f,59388,54625227836382338626961670248843556352364683211121566673596783467139577759620,49428463042268576805287904283805257320184740392400234251357635614262278604981,2025-11-16T08:00:00Z
dota2,dota2-pari-tc-2025-11-16,0xe63dbc1f2f8beb1fdef05cff46a62ef4d63651409b54dcf67da84f005775b332,PARIVISION,Team Cobra,PARIVISION,PARIVISION,PARIVISION,t,2718,76478036680651830720316218788150578889360926968864970554898070893098616826281,37441058703210731739227763024706312755282372974210377101627578306642299741861,2025-11-16T08:00:00Z
dota2,dota2-ts8-mouz-2025-11-16,0x6085a5e9abf07da525a6c793c9995635468c9467ffeec9952880e5479340220d,Team Spirit,MOUZ,Team Spirit,MOUZ,Team Spirit,f,88299,39557525433150476972184649405676371676108840772172542646706517204921346573940,96410435013054107000278411249211238518238051745737810210023965250818687218094,2025-11-16T11:00:00Z
dota2,dota2-tt2-yakult-brothers-2025-11-16,0xd8568f107d62419a69758b73f23460813ee7fef61955e2a65b9a1386d24a8090,Team Tidebound,Yakult Brothers,Team Tidebound,Team Tidebound,Team Tidebound,t,8561,110535451779286848250951917981724865423112063753936584193767533051208997181769,33078525210402088855340706957920816258583610737841579325952983753932465476558,2025-11-16T11:00:00Z
dota2,dota2-bb4-navi-2025-11-16,0x4b8cff6aab8d2145a26289df34ce1c88ef8843b4f5d8e7296d9d41522cc8c0f7,BetBoom Team,Natus Vincere,BetBoom Team,BetBoom Team,BetBoom Team,t,24459,95651098607709764737323760011495716522445606444553627483821493784598884231315,68498294550517523717041413834808113416038602030379193400603475228684754317504,2025-11-16T14:00:00Z
dota2,dota2-heroic-roar-2025-11-16,0x51ce4c3981a0a17f36c1cfab2042a55e0ef84bbf28aa699be0449c76e7d37779,Heroic,Roar Gaming,Heroic,Heroic,Heroic,t,12559,78020458663986123458606516790848704437712308139832588191455500383065417732668,64241748462077532799151922882860820949804841508826809440805842626681726005986,2025-11-16T14:00:00Z
dota2,dota2-ngx-gl-2025-11-16,0x520f3c074d5cbc5412a364adab3d99b536c4d5168dbd2c412896ccfbcfc32dca,Nigma Galaxy,GamerLegion,GamerLegion,GamerLegion,GamerLegion,t,5668,60373336167339679332046829535912653658773039406518606970747558939842607461635,60985030583000204159681863693655034289229753237208409950310487300911333790538,2025-11-16T17:00:00Z
dota2,dota2-tundra-og-2025-11-16,0xf56240985f7212afe12c425693210c40a04f06b05f25c703aef2c56f212ac330,Tundra Esports,OG,OG,OG,Tundra Esports,f,51190,85002441154457739380377651494323386524995955362989395252480280142262638927327,94945745831975449868957303005868736705804050129692643655639302944954403978267,2025-11-16T17:00:00Z
dota2,dota2-pari-tt2-2025-11-17,0xf8817d51478dae7f5c5f46a5a22f50aaf42ef7bfe73cfb884a9f305ea92666c9,PARIVISION,Team Tidebound,PARIVISION,PARIVISION,PARIVISION,t,29421,85698285290967245773833803027420356336331843922557062379522854065193702082167,105942491629456867538293904576985290373926099020278973848222333781120276134160,2025-11-17T08:00:00Z
dota2,dota2-xtreme-mouz-2025-11-17,0x06168d04fe32d3bc8da8f95b81eff5e22b82e38a65c3e37f64927063cd4412df,Xtreme Gaming,MOUZ,MOUZ,Xtreme Gaming,MOUZ,f,80760,46787024025784174886776539527791029085148168586433177588315377081247821020590,45820959813156999885303277468763774954200992584660535264980512484618739032819,2025-11-17T08:00:00Z
dota2,dota2-navi-gl-2025-11-17,0x49ffc7230a563b7f8075539017f636fe69c18bf012be559a7897a2a1921c5b04,Natus Vincere,GamerLegion,Natus Vincere,Natus Vincere,Natus Vincere,t,18344,89656389417578551546172307830717915474194042370788121558786803419723330578890,68225190370819730620788508329434744801873806990379533624919376864245630305633,2025-11-17T11:00:00Z
dota2,dota2-tundra-heroic-2025-11-17,0xf48a0e51a38c5be84fdf992aeb37d2be13e911fb2ef2d6898be69f729541b6c7,Tundra Esports,Heroic,Heroic,Heroic,Heroic,t,16636,100374014315219405524125663816001591976493445823193822081425413131580952055077,73440207157719482158749602359029150263112324898681724445078864994612597740495,2025-11-17T11:00:00Z
dota2,dota2-bb4-ts8-2025-11-17,0x92c5e1b830216bda11063ee075f44049059044bae5a2892dc451cf7f50fa8d40,BetBoom Team,Team Spirit,Team Spirit,Team Spirit,Team Spirit,t,38940,12176814770321023152815096854555946104864692469543712765148323774451258882217,115339387751025149216433189325688861705794737315004906491454238145437085676153,2025-11-17T14:00:00Z
dota2,dota2-yakult-brothers-roar-2025-11-17,0x8dfbc35c6b92c49236a488fefa22be66766000e7478cbce58962bc5d138be3e5,Yakult Brothers,Roar Gaming,Yakult Brothers,Yakult Brothers,Roar Gaming,f,27787,3071131101513712448819438419754491012581273108271891240890083170445076642329,8482462621863677755687774110957299876139695389940210618005833486620466026618,2025-11-17T14:00:00Z
dota2,dota2-liquid-og-2025-11-17,0x4bf5f691a78af4a9a44e04df5e8f224cf2a0d7da210f6f3986be9d91796d9319,Team Liquid,OG,Team Liquid,Team Liquid,Team Liquid,t,26144,46747678056482986526564827896798269649601142666973265176841589617727205014234,97431475602542347580502015872149761971071678367369176476988868599020982675172,2025-11-17T17:00:00Z
dota2,dota2-ngx-tc-2025-11-17,0xe2a9a53e41d182f795308519472f976713286230a69d521226f8fe5665b9d4d2,Nigma Galaxy,Team Cobra,Nigma Galaxy,Nigma Galaxy,Nigma Galaxy,t,14622,35415977027862835060440157938795021092894066310378194796287685652540807230112,96014041522418131166722962842175513141489480176533432943734179780223597668224,2025-11-17T17:00:00Z
dota2,dota2-gl-yakult-brothers-2025-11-18,0x23db065ad3aa25dd05396628c121dc37b3998d1969ea384447fab2b4e8f2f0de,GamerLegion,Yakult Brothers,GamerLegion,GamerLegion,Yakult Brothers,f,17444,25057560048895906013156377633782131371458802361149984868413240876901047452293,48118968317180839578673608715739507850254380451938242976544978393048777132352,2025-11-18T08:00:00Z
dota2,dota2-navi-mouz-2025-11-18,0x8a870892b6fc90aa0c5e32841723163f9f18ee778688c2e6374a935e21d47021,Natus Vincere,MOUZ,MOUZ,Natus Vincere,MOUZ,f,108188,82711385558889940577145173182102778845036139038144355201108614401608560067654,63161923965573345144703866688947616425877521440292710449306558809456220529042,2025-11-18T08:00:00Z
dota2,dota2-og-heroic-2025-11-18,0x67d8dbdbdd517e2a91e7d2324f13cfcf204f7df3827e6de699bfa72aa1dc55c9,OG,Heroic,OG,Heroic,OG,f,80843,13233200348359306002682007574231970500951411025536843748272995006882231924954,105550223206718037729111334723252164485519357733535119950762410253822239250185,2025-11-18T11:00:00Z
dota2,dota2-tundra-tt2-2025-11-18,0x40aa56216502fde50afd8254e726646410d08e413975da3e5ce2dff1e58eaf43,Tundra Esports,Team Tidebound,Tundra Esports,Tundra Esports,Tundra Esports,t,29309,55297638724485381442302191569001647713517926644252943735079847024074027492193,17125909851465398488536064841163762262032884090838205631186202312645474705812,2025-11-18T11:00:00Z
dota2,dota2-bb4-pari-2025-11-18,0x1c67c39b6ec82df043ef953a279d1013fab4aa942e6d537d179d7a4bcb28a2e3,BetBoom Team,PARIVISION,PARIVISION,PARIVISION,PARIVISION,t,48587,50065044726835775638668435621051429950305506185876360472768047860289628315001,48232153824211995037770240393752126786116371756189912918796880227961100836051,2025-11-18T14:00:00Z
